generation,pct_filter,pct_map,pct_aggregate
1,0.18777777777777777,0.8122222222222222,0.0
2,0.20166666666666666,0.7983333333333333,0.0
3,0.16666666666666669,0.8333333333333334,0.0
4,0.10555555555555556,0.8944444444444445,0.0
5,0.09444444444444443,0.9055555555555556,0.0
6,0.08444444444444445,0.9155555555555555,0.0
7,0.14722222222222223,0.8527777777777779,0.0
8,0.10500000000000001,0.8949999999999999,0.0
9,0.1214814814814815,0.8785185185185185,0.0
10,0.1088888888888889,0.8911111111111112,0.0
11,0.1088888888888889,0.8911111111111112,0.0
12,0.15611111111111112,0.8438888888888888,0.0
13,0.11759259259259258,0.8824074074074073,0.0
14,0.1255555555555556,0.8744444444444444,0.0
15,0.15537037037037038,0.8446296296296296,0.0
16,0.13222222222222224,0.8677777777777778,0.0
17,0.14574074074074073,0.854259259259259,0.0
18,0.15444444444444444,0.8455555555555556,0.0
19,0.16222222222222224,0.8377777777777776,0.0
20,0.16037037037037036,0.8396296296296295,0.0
21,0.1738888888888889,0.8261111111111111,0.0
22,0.1388888888888889,0.861111111111111,0.0
23,0.1625925925925926,0.8374074074074074,0.0
24,0.15222222222222223,0.8477777777777777,0.0
25,0.14555555555555555,0.8544444444444445,0.0
26,0.15222222222222223,0.8477777777777777,0.0
27,0.1288888888888889,0.8711111111111111,0.0
28,0.15222222222222223,0.8477777777777777,0.0
29,0.14611111111111114,0.8538888888888889,0.0
30,0.16777777777777778,0.8322222222222221,0.0
31,0.1611111111111111,0.8388888888888889,0.0
32,0.15111111111111114,0.8488888888888889,0.0
33,0.1733333333333333,0.8266666666666665,0.0
34,0.1733333333333333,0.8266666666666665,0.0
35,0.18222222222222223,0.8177777777777777,0.0
36,0.20555555555555555,0.7944444444444444,0.0
37,0.20555555555555555,0.7944444444444444,0.0
38,0.20555555555555555,0.7944444444444444,0.0
39,0.18222222222222223,0.8177777777777777,0.0
40,0.19888888888888887,0.8011111111111111,0.0
41,0.20555555555555555,0.7944444444444444,0.0
42,0.17777777777777776,0.8222222222222222,0.0
43,0.18777777777777777,0.8122222222222222,0.0
44,0.23333333333333334,0.7666666666666666,0.0
45,0.20722222222222225,0.7927777777777777,0.0
46,0.21944444444444441,0.7805555555555556,0.0
47,0.2444444444444444,0.7555555555555555,0.0
48,0.22944444444444448,0.7705555555555555,0.0
49,0.23888888888888887,0.7611111111111112,0.0
50,0.23222222222222225,0.7677777777777778,0.0
