generation,pct_filter,pct_map,pct_aggregate
1,0.33116402116402116,0.557962962962963,0.11087301587301587
2,0.194537037037037,0.6792592592592592,0.1262037037037037
3,0.4250925925925926,0.47370370370370374,0.10120370370370371
4,0.5423148148148148,0.3242592592592593,0.13342592592592592
5,0.7117592592592592,0.20259259259259257,0.08564814814814814
6,0.7979100529100529,0.12886243386243387,0.07322751322751322
7,0.7645767195767196,0.13719576719576723,0.09822751322751323
8,0.7642736892736892,0.13537758537758537,0.10034872534872534
9,0.8281625781625781,0.10658970658970657,0.06524771524771525
10,0.831192881192881,0.10355940355940355,0.06524771524771525
11,0.8281625781625781,0.10759980759980758,0.06423761423761423
12,0.8281625781625781,0.10204425204425202,0.06979316979316978
13,0.8614959114959115,0.08537758537758536,0.05312650312650312
14,0.8448292448292447,0.10204425204425202,0.05312650312650312
15,0.8114959114959115,0.11871091871091873,0.0697931697931698
16,0.8281625781625781,0.10759980759980758,0.06423761423761423
17,0.8281625781625781,0.10204425204425202,0.0697931697931698
18,0.8281625781625781,0.10204425204425202,0.0697931697931698
19,0.8309403559403558,0.10204425204425202,0.067015392015392
20,0.8309403559403558,0.10204425204425202,0.067015392015392
21,0.8286255411255411,0.10389610389610389,0.06747835497835498
22,0.8286255411255411,0.10389610389610389,0.06747835497835498
23,0.8286255411255411,0.10945165945165944,0.06192279942279942
24,0.8286255411255411,0.10389610389610389,0.06747835497835498
25,0.8311507936507935,0.10238095238095238,0.06646825396825397
26,0.8311507936507935,0.10238095238095238,0.06646825396825397
27,0.8311507936507935,0.10238095238095238,0.06646825396825397
28,0.8311507936507935,0.10238095238095238,0.06646825396825397
29,0.8311507936507935,0.10238095238095238,0.06646825396825397
30,0.8311507936507935,0.10238095238095238,0.06646825396825397
31,0.8314033189033188,0.10389610389610389,0.0647005772005772
32,0.8311507936507935,0.10238095238095238,0.06646825396825397
33,0.8306878306878305,0.10052910052910051,0.06878306878306878
34,0.8010582010582009,0.11534391534391533,0.08359788359788359
35,0.8015211640211639,0.11719576719576721,0.08128306878306878
36,0.8134259259259258,0.11481481481481481,0.07175925925925926
37,0.8183080808080808,0.11447811447811447,0.06721380471380471
38,0.8152777777777777,0.11851851851851854,0.0662037037037037
39,0.8152777777777777,0.11296296296296296,0.07175925925925924
40,0.8152777777777777,0.11296296296296296,0.07175925925925924
41,0.8152777777777777,0.11851851851851854,0.0662037037037037
42,0.8152777777777777,0.11296296296296296,0.07175925925925924
43,0.8507407407407406,0.09296296296296294,0.05629629629629629
44,0.8174074074074074,0.1151851851851852,0.0674074074074074
45,0.8174074074074074,0.10962962962962963,0.07296296296296295
46,0.8174074074074074,0.10962962962962963,0.07296296296296295
47,0.8248148148148147,0.10777777777777778,0.0674074074074074
48,0.8174074074074074,0.10962962962962963,0.07296296296296295
49,0.8248148148148147,0.10777777777777778,0.0674074074074074
50,0.8248148148148147,0.10777777777777778,0.0674074074074074
