problem.name;solver.name;randomGenerator.seed;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;"all→percentile[quality→privacy;100]→quality→privacy";"all→percentile[quality→privacy;100]→quality→performance-similarity";"all→percentile[quality→privacy;100]→solution";"all→percentile[quality→performance-similarity;100]→quality→privacy";"all→percentile[quality→performance-similarity;100]→quality→performance-similarity";"all→percentile[quality→performance-similarity;100]→solution";"all→percentile[quality→privacy;75]→quality→privacy";"all→percentile[quality→privacy;75]→quality→performance-similarity";"all→percentile[quality→privacy;75]→solution";"all→percentile[quality→performance-similarity;75]→quality→privacy";"all→percentile[quality→performance-similarity;75]→quality→performance-similarity";"all→percentile[quality→performance-similarity;75]→solution"
datasets/airQuality_parallel.csv;nsga2;3;1;100;100;4.95200e+00;100;3;58;9.90000e-01;9.90000e-01;3.20000e-01;7.76655e-01;4.09530e-01;Pipeline { map_aggregate(attribute=AH, function=max, window=5) | filter(PT08.S5(O3) < 667.0000) | map_aggregate(attribute=NMHC(GT), function=min, window=6) | filter(PT08.S2(NMHC) < 804.0000) | map_duplicate(probability=0.80) | filter(NO2(GT) < 227000000.0000) | map_duplicate(probability=0.90) | map_duplicate(probability=1.00) };7.41273e-01;1.00000e+00;Pipeline { map_noise(attribute=NO2(GT), percentage=0.01) };5.70700e-01;8.89591e-01;Pipeline { filter(PT08.S2(NMHC) > 0.0000) | filter(CO(GT) < 608000000.0000) | filter(PT08.S5(O3) > 0.0682) | filter(NO2(GT) < 89500000.0000) };4.93424e-01;8.28431e-01;Pipeline { map_duplicate(probability=0.50) }
datasets/airQuality_parallel.csv;nsga2;3;2;200;200;1.17170e+01;100;2;2;9.90000e-01;9.90000e-01;6.80000e-01;7.87960e-01;9.49204e-01;Pipeline { map_aggregate(attribute=NOx(GT), function=min, window=5) | map_aggregate(attribute=PT08.S4(NO2), function=max, window=10) | map_noise(attribute=PT08.S1(CO), percentage=0.05) | filter(PT08.S5(O3) > 4.7800) | map_aggregate(attribute=T, function=avg, window=10) };7.27315e-01;1.00000e+00;Pipeline { map_aggregate(attribute=NOx(GT), function=min, window=6) };7.41322e-01;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S3(NOx), function=avg, window=10) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S1(CO), percentage=0.10) }
datasets/airQuality_parallel.csv;nsga2;3;3;300;300;1.64460e+01;100;3;18;9.90000e-01;9.90000e-01;2.80000e-01;8.12377e-01;6.57975e-01;Pipeline { map_aggregate(attribute=CO(GT), function=avg, window=8) };7.33059e-01;1.00000e+00;Pipeline { map_aggregate(attribute=NOx(GT), function=max, window=7) };7.41322e-01;1.00000e+00;Pipeline { map_aggregate(attribute=NMHC(GT), function=max, window=7) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=C6H6(GT), percentage=0.01) }
datasets/airQuality_parallel.csv;nsga2;3;4;400;400;2.05150e+01;100;6;80;1.00000e+00;9.90000e-01;2.40000e-01;8.70869e-01;4.05696e-01;Pipeline { map_aggregate(attribute=AH, function=max, window=5) | filter(PT08.S5(O3) < 667.0000) | map_aggregate(attribute=NMHC(GT), function=min, window=6) | filter(PT08.S2(NMHC) < 804.0000) | map_duplicate(probability=1.00) | filter(NO2(GT) < 6270000000.0000) | map_duplicate(probability=0.90) | map_duplicate(probability=1.00) };7.41322e-01;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S1(CO), function=min, window=9) | map_noise(attribute=AH, percentage=0.01) };7.41322e-01;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S1(CO), function=min, window=9) | map_noise(attribute=AH, percentage=0.01) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S5(O3), percentage=0.01) }
datasets/airQuality_parallel.csv;nsga2;3;5;500;500;2.47410e+01;100;5;66;1.00000e+00;1.00000e+00;3.20000e-01;8.70869e-01;4.05696e-01;Pipeline { map_aggregate(attribute=AH, function=max, window=5) | filter(PT08.S5(O3) < 667.0000) | map_aggregate(attribute=NMHC(GT), function=min, window=6) | filter(PT08.S2(NMHC) < 804.0000) | map_duplicate(probability=1.00) | filter(NO2(GT) < 6270000000.0000) | map_duplicate(probability=0.90) | map_duplicate(probability=1.00) };7.41322e-01;1.00000e+00;Pipeline { map_aggregate(attribute=C6H6(GT), function=max, window=5) };7.55042e-01;1.00000e+00;Pipeline { map_noise(attribute=NOx(GT), percentage=0.25) };7.41322e-01;1.00000e+00;Pipeline { map_aggregate(attribute=T, function=avg, window=8) }
datasets/airQuality_parallel.csv;nsga2;3;6;600;600;2.96140e+01;100;5;57;1.00000e+00;1.00000e+00;4.00000e-01;8.70869e-01;4.05696e-01;Pipeline { map_aggregate(attribute=AH, function=max, window=5) | filter(PT08.S5(O3) < 667.0000) | map_aggregate(attribute=NMHC(GT), function=min, window=6) | filter(PT08.S2(NMHC) < 804.0000) | map_duplicate(probability=1.00) | filter(NO2(GT) < 6270000000.0000) | map_duplicate(probability=0.90) | map_duplicate(probability=1.00) };7.41322e-01;1.00000e+00;Pipeline { map_aggregate(attribute=T, function=min, window=6) };7.80475e-01;1.00000e+00;Pipeline { map_aggregate(attribute=NOx(GT), function=avg, window=7) };7.41322e-01;1.00000e+00;Pipeline { map_aggregate(attribute=C6H6(GT), function=max, window=7) }
datasets/airQuality_parallel.csv;nsga2;3;7;700;700;3.36070e+01;100;7;52;1.00000e+00;1.00000e+00;4.50000e-01;8.70869e-01;4.05696e-01;Pipeline { map_aggregate(attribute=AH, function=max, window=5) | filter(PT08.S5(O3) < 667.0000) | map_aggregate(attribute=NMHC(GT), function=min, window=6) | filter(PT08.S2(NMHC) < 804.0000) | map_duplicate(probability=1.00) | filter(NO2(GT) < 6270000000.0000) | map_duplicate(probability=0.90) | map_duplicate(probability=1.00) };7.41322e-01;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S2(NMHC), function=min, window=7) };7.87939e-01;9.49204e-01;Pipeline { map_aggregate(attribute=NOx(GT), function=min, window=5) | map_aggregate(attribute=AH, function=avg, window=7) | map_noise(attribute=PT08.S1(CO), percentage=0.05) | filter(PT08.S1(CO) < 9800000000.0000) | map_aggregate(attribute=T, function=avg, window=10) };7.41322e-01;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S5(O3), function=avg, window=9) }
datasets/airQuality_parallel.csv;nsga2;3;8;800;800;3.98430e+01;100;6;46;1.00000e+00;1.00000e+00;5.10000e-01;8.70869e-01;4.05696e-01;Pipeline { map_aggregate(attribute=AH, function=max, window=5) | filter(PT08.S5(O3) < 667.0000) | map_aggregate(attribute=NMHC(GT), function=min, window=6) | filter(PT08.S2(NMHC) < 804.0000) | map_duplicate(probability=1.00) | filter(NO2(GT) < 6270000000.0000) | map_duplicate(probability=0.90) | map_duplicate(probability=1.00) };7.41322e-01;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S2(NMHC), function=avg, window=3) };7.87985e-01;9.49204e-01;Pipeline { map_aggregate(attribute=NOx(GT), function=min, window=5) | map_aggregate(attribute=PT08.S4(NO2), function=max, window=10) | map_noise(attribute=PT08.S1(CO), percentage=0.05) | filter(PT08.S5(O3) > 0.0000) | map_aggregate(attribute=T, function=avg, window=7) };7.41322e-01;1.00000e+00;Pipeline { map_aggregate(attribute=C6H6(GT), function=max, window=3) }
datasets/airQuality_parallel.csv;nsga2;3;9;900;900;4.42590e+01;100;7;33;1.00000e+00;1.00000e+00;6.30000e-01;8.70869e-01;4.05696e-01;Pipeline { map_aggregate(attribute=AH, function=max, window=5) | filter(PT08.S5(O3) < 667.0000) | map_aggregate(attribute=NMHC(GT), function=min, window=6) | filter(PT08.S2(NMHC) < 804.0000) | map_duplicate(probability=1.00) | filter(NO2(GT) < 6270000000.0000) | map_duplicate(probability=0.90) | map_duplicate(probability=1.00) };7.41322e-01;1.00000e+00;Pipeline { map_aggregate(attribute=C6H6(GT), function=max, window=9) };7.93839e-01;0.00000e+00;Pipeline { map_aggregate(attribute=NOx(GT), function=min, window=5) | map_aggregate(attribute=CO(GT), function=max, window=6) | map_noise(attribute=PT08.S2(NMHC), percentage=0.05) | filter(PT08.S5(O3) > 0.0000) | map_aggregate(attribute=T, function=avg, window=10) };7.41322e-01;1.00000e+00;Pipeline { map_aggregate(attribute=T, function=max, window=4) }
datasets/airQuality_parallel.csv;nsga2;3;10;1000;1000;4.90290e+01;100;6;14;1.00000e+00;1.00000e+00;8.30000e-01;8.70869e-01;4.05696e-01;Pipeline { map_aggregate(attribute=AH, function=max, window=5) | filter(PT08.S5(O3) < 667.0000) | map_aggregate(attribute=NMHC(GT), function=min, window=6) | filter(PT08.S2(NMHC) < 804.0000) | map_duplicate(probability=1.00) | filter(NO2(GT) < 6270000000.0000) | map_duplicate(probability=0.90) | map_duplicate(probability=1.00) };7.41322e-01;1.00000e+00;Pipeline { map_aggregate(attribute=T, function=min, window=5) };8.07156e-01;9.49204e-01;Pipeline { map_aggregate(attribute=NOx(GT), function=min, window=5) | map_aggregate(attribute=AH, function=avg, window=7) | map_noise(attribute=PT08.S1(CO), percentage=0.05) | filter(PT08.S1(CO) < 9800000000.0000) | map_aggregate(attribute=NOx(GT), function=max, window=8) };7.80475e-01;1.00000e+00;Pipeline { map_aggregate(attribute=NOx(GT), function=avg, window=7) }
