generation,pct_filter,pct_map,pct_aggregate
1,0.21537037037037035,0.6237037037037038,0.16092592592592594
2,0.11333333333333333,0.5855555555555555,0.3011111111111111
3,0.04444444444444444,0.6444444444444444,0.31111111111111106
4,0.0,0.8388888888888889,0.1611111111111111
5,0.0,0.6555555555555556,0.34444444444444444
6,0.0,0.5888888888888888,0.4111111111111111
7,0.0,0.538888888888889,0.4611111111111111
8,0.0,0.5333333333333332,0.4666666666666667
9,0.0,0.5666666666666665,0.4333333333333333
10,0.0,0.5777777777777777,0.4222222222222222
11,0.0,0.5888888888888888,0.4111111111111111
12,0.0,0.5444444444444444,0.45555555555555555
13,0.0,0.5777777777777777,0.42222222222222217
14,0.0,0.5777777777777777,0.42222222222222217
15,0.0,0.5777777777777777,0.4222222222222222
16,0.0,0.5777777777777777,0.4222222222222222
17,0.0,0.5388888888888889,0.4611111111111111
18,0.0,0.5722222222222222,0.42777777777777776
19,0.0,0.5166666666666666,0.4833333333333334
20,0.0,0.5111111111111111,0.48888888888888893
21,0.0,0.5333333333333333,0.4666666666666667
22,0.0,0.5222222222222223,0.47777777777777775
23,0.0,0.5166666666666666,0.4833333333333334
24,0.0,0.5,0.5
25,0.0,0.5,0.5
26,0.0,0.5,0.5
27,0.0,0.5111111111111111,0.48888888888888893
28,0.0,0.5222222222222223,0.47777777777777775
29,0.0,0.5,0.5
30,0.0,0.5,0.5
31,0.0,0.5,0.5
32,0.0,0.5,0.5
33,0.0,0.5,0.5
34,0.0,0.5,0.5
35,0.0,0.5,0.5
36,0.0,0.5,0.5
37,0.0,0.5,0.5
38,0.0,0.5,0.5
39,0.0,0.5,0.5
40,0.0,0.5,0.5
41,0.0,0.5,0.5
42,0.0,0.5,0.5
43,0.0,0.5,0.5
44,0.0,0.5,0.5
45,0.0,0.5,0.5
46,0.0,0.5,0.5
47,0.0,0.5,0.5
48,0.0,0.5,0.5
49,0.0,0.5,0.5
50,0.0,0.5,0.5
